UserEmail,UserPoints,UserName
d.adams4242@yahoo.com,120,Ethan Adams
d.nelson4343@gmail.com,870,Eva Nelson
d.baker4444@outlook.com,30,Evelyn Baker
d.hall4545@gmail.com,1650,Ezra Hall
d.rivera4646@yahoo.com,410,Gabriel Rivera
d.campbell4747@hotmail.com,0,Grace Campbell
d.mitchell4848@gmail.com,730,Hannah Mitchell
d.carter4949@icloud.com,290,Harrison Carter
d.roberts5050@yahoo.com,1050,Henry Roberts
e.gomez5151@gmail.com,60,Hudson Gomez
e.phillips5252@outlook.com,480,Ian Phillips
e.evans5353@gmail.com,1900,Isabella Evans
e.turner5454@yahoo.com,220,Isaiah Turner
e.diaz5555@hotmail.com,0,Jack Diaz
e.parker5656@gmail.com,810,Jackson Parker
e.cruz5757@icloud.com,350,Jacob Cruz
e.edwards5858@yahoo.com,1420,James Edwards
e.collins5959@gmail.com,500,Jason Collins
e.reyes6060@outlook.com,110,Jeremiah Reyes
f.stewart6161@gmail.com,0,Jessica Stewart
f.morris6262@yahoo.com,670,John Morris
f.morales6363@hotmail.com,240,Jonathan Morales
f.murphy6464@gmail.com,1180,Jordan Murphy
f.cook6565@icloud.com,390,Joseph Cook
f.rogers6666@yahoo.com,850,Joshua Rogers
f.gutierrez6767@gmail.com,20,Julia Gutierrez
f.ortiz6868@outlook.com,1540,Julian Ortiz
f.morgan6969@gmail.com,430,Kaiden Morgan
f.cooper7070@yahoo.com,0,Katherine Cooper
g.peterson7171@hotmail.com,920,Kaylee Peterson
g.bailey7272@gmail.com,310,Landon Bailey
g.reed7373@icloud.com,1760,Layla Reed
g.kelly7474@yahoo.com,180,Leo Kelly
g.howard7575@gmail.com,640,Levi Howard
g.ramos7676@outlook.com,25,Liam Ramos
g.kim7777@gmail.com,890,Lily Kim
g.cox7878@yahoo.com,0,Lincoln Cox
g.ward7979@hotmail.com,1310,Logan Ward
g.richardson8080@gmail.com,470,Lucas Richardson
h.watson8181@icloud.com,230,Lucy Watson
h.brooks8282@yahoo.com,1020,Luke Brooks
h.chavez8383@gmail.com,550,Madelyn Chavez
h.wood8484@outlook.com,80,Mason Wood
h.james8585@gmail.com,2150,Mateo James
h.bennett8686@yahoo.com,0,Maya Bennett
h.gray8787@hotmail.com,360,Michael Gray
h.mendoza8888@gmail.com,740,Mia Mendoza
h.ruiz8989@icloud.com,1290,Miles Ruiz
h.hughes9090@yahoo.com,190,Naomi Hughes
i.price9191@gmail.com,630,Nathan Price
i.alvarez9292@outlook.com,0,Nicholas Alvarez
i.castillo9393@gmail.com,880,Nora Castillo
i.sanders9494@yahoo.com,410,Oliver Sanders
i.patel9595@hotmail.com,1600,Olivia Patel
i.myers9696@gmail.com,270,Owen Myers
i.long9797@icloud.com,90,Penelope Long
i.ross9898@yahoo.com,510,Parker Ross
i.foster9999@gmail.com,1340,Peyton Foster
i.jimenez10000@outlook.com,0,Rayan Jimenez
j.powell10101@gmail.com,780,Riley Powell
j.jenkins10202@yahoo.com,320,Robert Jenkins
j.perry10303@hotmail.com,1090,Ruby Perry
j.russell10404@gmail.com,210,Ryan Russell
j.sullivan10505@icloud.com,650,Sadie Sullivan
j.bell10606@yahoo.com,40,Samuel Bell
j.coleman10707@gmail.com,1870,Samantha Coleman
j.butler10808@outlook.com,0,Santiago Butler
j.henderson10909@gmail.com,530,Savannah Henderson
j.barnes11010@yahoo.com,940,Sebastian Barnes
k.gonzales11111@hotmail.com,150,Sophia Gonzales
k.fisher11212@gmail.com,2200,Stella Fisher
k.vasquez11313@icloud.com,380,Steven Vasquez
k.simmons11414@yahoo.com,610,Tristan Simmons
k.romero11515@gmail.com,0,Tyler Romero
k.jordan11616@outlook.com,830,Victoria Jordan
k.patterson11717@gmail.com,120,Vincent Patterson
k.alexander11818@yahoo.com,1450,Violet Alexander
k.hamilton11919@hotmail.com,490,Wyatt Hamilton
k.graham12020@gmail.com,70,Xavier Graham
l.reynolds12121@icloud.com,1620,Zachary Reynolds
l.griffin12222@yahoo.com,330,Zoe Griffin
l.wallace12323@gmail.com,0,Adrian Wallace
l.moreno12424@outlook.com,910,Aaliyah Moreno
l.west12525@gmail.com,540,Alexander West
l.cole12626@yahoo.com,280,Amelia Cole
l.hayes12727@hotmail.com,1130,Andrew Hayes
l.gibson12828@gmail.com,40,Anna Gibson
l.bryant12929@icloud.com,770,Anthony Bryant
l.ellis13030@yahoo.com,0,Ashley Ellis
m.stevens13131@gmail.com,1980,Austin Stevens
m.murray13232@outlook.com,360,Ava Murray
m.ford13333@gmail.com,620,Avery Ford
m.marshall13434@yahoo.com,130,Benjamin Marshall
m.owens13535@hotmail.com,840,Bella Owens
m.mcdonald13636@gmail.com,0,Blake McDonald
m.harrison13737@icloud.com,1510,Brandon Harrison
m.ruiz13838@yahoo.com,460,Brianna Ruiz
m.kennedy13939@gmail.com,230,Bryan Kennedy
m.wells14040@outlook.com,1040,Caleb Wells
n.alvarez14141@gmail.com,710,Cameron Alvarez
n.woods14242@yahoo.com,0,Camila Woods
n.mendoza14343@hotmail.com,1260,Carlos Mendoza
n.castillo14444@gmail.com,390,Caroline Castillo
n.olson14545@icloud.com,800,Carter Olson
n.webb14646@yahoo.com,170,Charlotte Webb
n.washington14747@gmail.com,50,Chloe Washington
n.tucker14848@outlook.com,1690,Christian Tucker
n.freeman14949@gmail.com,600,Christopher Freeman
n.burns15050@yahoo.com,0,Claire Burns
o.henry15151@hotmail.com,1150,Colton Henry
o.vasquez15252@gmail.com,310,Daniel Vasquez
o.snyder15353@icloud.com,930,David Snyder
o.simpson15454@yahoo.com,220,Dominic Simpson
o.crawford15555@gmail.com,70,Dylan Crawford
o.jimenez15656@outlook.com,1410,Eleanor Jimenez
o.porter15757@gmail.com,480,Eli Porter
o.hunter15858@yahoo.com,0,Elijah Hunter
o.hicks15959@hotmail.com,1820,Elizabeth Hicks
o.crawford16060@gmail.com,530,Ella Crawford
p.palmer16161@icloud.com,260,Ethan Palmer
p.robertson16262@yahoo.com,1070,Eva Robertson
p.black16363@gmail.com,340,Evelyn Black
p.holmes16464@outlook.com,80,Ezra Holmes
p.stone16565@gmail.com,2010,Gabriel Stone
p.meyer16666@yahoo.com,430,Grace Meyer
p.boyd16767@hotmail.com,0,Hannah Boyd
p.jordan16868@gmail.com,860,Harrison Jordan
p.mills16969@icloud.com,190,Henry Mills
p.hunt17070@yahoo.com,1240,Hudson Hunt
q.mustang17171@gmail.com,680,Ian Mustang
q.ray17272@outlook.com,0,Isabella Ray
q.knight17373@gmail.com,950,Isaiah Knight
q.ferguson17474@yahoo.com,370,Jack Ferguson
q.rose17575@hotmail.com,1580,Jackson Rose
q.stone17676@gmail.com,110,Jacob Stone
q.hawkins17777@icloud.com,790,James Hawkins
q.dunn17878@yahoo.com,240,Jason Dunn
q.perkins17979@gmail.com,0,Jeremiah Perkins
q.hudson18080@outlook.com,1370,Jessica Hudson
r.spencer18181@gmail.com,520,John Spencer
r.gardner18282@yahoo.com,890,Jonathan Gardner
r.stephens18383@hotmail.com,160,Jordan Stephens
r.payne18484@gmail.com,2140,Joseph Payne
r.pierce18585@icloud.com,400,Joshua Pierce
r.berry18686@yahoo.com,0,Julia Berry
r.matthews18787@gmail.com,730,Julian Matthews
r.arnold18888@outlook.com,1010,Kaiden Arnold
r.wagner18989@gmail.com,290,Katherine Wagner
r.willis19090@yahoo.com,660,Kaylee Willis
s.ray19191@hotmail.com,0,Landon Ray
s.watkins19292@gmail.com,1430,Layla Watkins
s.olson19393@icloud.com,580,Leo Olson
s.carroll19494@yahoo.com,820,Levi Carroll
s.duncan19595@gmail.com,120,Liam Duncan
s.snyder19696@outlook.com,1790,Lily Snyder
s.hart19797@gmail.com,350,Lincoln Hart
s.cunningham19898@yahoo.com,0,Logan Cunningham
s.bradley19999@hotmail.com,940,Lucas Bradley
s.lane20000@gmail.com,490,Lucy Lane
